English,Arabic
A group of eight people are gathered around a table at night .,يتم جمع مجموعة من ثمانية أشخاص حول طاولة في الليل.
A group of people gathered around in the dark .,مجموعة من الناس تجمعوا في الظلام.
A group of people sit around a table outside on a porch at night .,تجلس مجموعة من الأشخاص حول طاولة في الخارج على شرفة في الليل.
A group of people sit outdoors together at night .,مجموعة من الناس يجلسون في الهواء الطلق معًا في الليل.
A group of people sitting at a table in a darkened room .,مجموعة من الناس جالسين على طاولة في غرفة مظلمة.
A man in a brown shirt and dark shorts plays on the beach with his two black dogs .,رجل يرتدي قميصًا بنيًا وسروالًا مظلمًا يلعب على الشاطئ مع كلابه الأسود.
A man in shorts with two black dogs holds a ball throwing toy at the beach .,رجل في شورت مع اثنين من الكلاب السوداء يحمل كرة رمي الكرة على الشاطئ.
a man playing with two black dogs on the beach,رجل يلعب مع اثنين من الكلاب السوداء على الشاطئ
A man with two dogs on a beach,رجل مع اثنين من الكلاب على الشاطئ
Man at the beach with two dogs .,رجل على الشاطئ مع اثنين من الكلاب.
a boy cleans the bubbles off his face .,صبي ينظف الفقاعات من وجهه.
A boy covered in suds has his face wiped clean .,صبي مغطى في Suds لديه وجهه نظيف.
A boy is covered in bubbles .,صبي مغطى بالفقاعات.
A child covered in foam is climbing on a black inflatable ramp .,طفل مغطى بالرغوة يتسلق على منحدر أسود قابل للنفخ.
A person covered in soapy water is getting cleaned off .,يتم تنظيف الشخص المغطى بالماء الصابون.
A boy in blue shorts slides down a slide into a pool .,صبي في السراويل الزرقاء ينزلق أسفل شريحة في حمام السباحة.
A boy in blue swimming trunks slides down a yellow slide into a wading pool with inflatable toys floating in the water .,ينزلق صبي يرتدي ملابس السباحة الزرقاء أسفل شريحة صفراء في حمام سباحة خوض مع ألعاب قابلة للنفخ تطفو في الماء.
A boy rides down a slide into a small backyard pool .,صبي يركب شريحة إلى بركة صغيرة في الفناء الخلفي.
A boy sliding down a slide into a pool with colorful tubes .,صبي ينزلق أسفل شريحة في حمام سباحة مع أنابيب ملونة.
A child is falling off a slide onto colored balloons floating on a pool of water .,طفل يسقط من شريحة على بالونات ملونة تطفو على بركة من الماء.
A man in a wetsuit is throwing a baby wearing a wetsuit up into the air .,رجل في بذلة يرمي طفلًا يرتدي بذلة في الهواء.
A man in a wetsuit is throwing a toddler up in the air and is ready to catch him .,رجل في بذلة يرمي طفلًا صغيرًا في الهواء وهو مستعد للقبض عليه.
A man in water throwing a little boy up in the air and waiting for him to come down so he can catch him .,رجل في الماء يرمي صبيًا صغيرًا في الهواء وينتظره حتى ينزل حتى يتمكن من القبض عليه.
The man is in the pool and throwing a small boy into the air .,الرجل في حمام السباحة ورمي صبي صغير في الهواء.
"""While water droplets fly , a man throws a little boy up in the air .""","""بينما تطير قطرات الماء ، يرمي رجل صغيراً في الهواء."""
A little boy sticks his tongue out for the camera . Another boy looks on .,صبي صغير يلتصق لسانه بالخارج للكاميرا. صبي آخر يبحث.
Two boys make faces .,صبيان يصنعان الوجوه.
"""Two young boys are looking at the camera , one smiling , the other sticking his tongue out .""","""صبيان صغيرين ينظران إلى الكاميرا ، أحدهما يبتسم ، والآخر يلتصق لسانه."""
Two young boys look up at the camera as one sticks out his tongue .,ينظر صبيان صغيران إلى الكاميرا بينما يخرج المرء لسانه.
two young boys making silly faces .,صبيان صغيرين يصنعان وجوهًا سخيفة.
A blonde horse and a blonde girl in a black sweatshirt are staring at a fire in a barrel .,يحدق حصان أشقر وفتاة شقراء في قميص بلون أسود في حريق في برميل.
A girl and her horse stand by a fire .,فتاة وحصانها يقفون بجانب النار.
A girl holding a horse 's lead behind a fire .,فتاة تحمل قيادة حصان خلف النار.
"""A man , and girl and two horses are near a contained fire .""","""رجل وفتاة وخيولان قريبان من النار المحتوية."""
Two people and two horses watching a fire .,شخصان واثنين من الخيول يشاهدان النار.
"""A bulldog , a sheep dog , and a boxer standing in a yard .""","""البلدغ ، كلب الأغنام ، وملاكم يقف في الفناء."""
A large brown dog is pushing a small Boston terrier with his face while anouther dog watches .,يدفع الكلب البني الكبير إلى جحر بوسطن صغير مع وجهه بينما يراقب أنثير.
A large skinny dog stands near two smaller dogs int the dirt .,يقف كلب نحيل كبير بالقرب من اثنين من الكلاب الأصغر في الأوساخ.
There are three dogs starring at a ball in the middle of them .,هناك ثلاثة كلاب من بطولة كرة في منتصفها.
Three dogs of various sizes .,ثلاثة كلاب من مختلف الأحجام.
A lady and a man with no shirt sit on a dock .,سيدة ورجل بدون قميص يجلس على قفص الاتهام.
A man and a woman are sitting on a dock together .,رجل وامرأة يجلسون على قفص الاتهام معًا.
A man and a woman sitting on a dock .,رجل وامرأة جالسين على رصيف.
A man and woman sitting on a deck next to a lake .,رجل وامرأة يجلسون على سطح السفينة بجوار البحيرة.
A shirtless man and a woman sitting on a dock .,رجل بلا قميص وامرأة جالسين على قفص الاتهام.
A closeup of a white dog that is laying its head on its paws .,مقربة من كلب أبيض يضع رأسه على أقدامه.
